Date,SEK
2019-02-27,9.2717
2019-02-26,9.2826
2019-02-25,9.3095
2019-02-22,9.3457
2019-02-21,9.3632
2019-02-20,9.3227
2019-02-19,9.3111
2019-02-18,9.2649
2019-02-15,9.2829
2019-02-14,9.2905
2019-02-13,9.2691
2019-02-12,9.2602
2019-02-11,9.3078
2019-02-08,9.2741
2019-02-07,9.2612
2019-02-06,9.2051
2019-02-05,9.1156
2019-02-04,9.1022
2019-02-01,9.0507
2019-01-31,9.0477
2019-01-30,9.0447
2019-01-29,9.0685
2019-01-28,9.0553
2019-01-25,9.0488
2019-01-24,9.0852
2019-01-23,9.0221
2019-01-22,9.0268
2019-01-21,9.0166
2019-01-18,9.0281
2019-01-17,9.0192
2019-01-16,8.9993
2019-01-15,8.9674
2019-01-14,8.949
2019-01-11,8.9321
2019-01-10,8.9042
2019-01-09,8.8698
2019-01-08,8.9273
2019-01-07,8.8962
2019-01-04,8.9682
2019-01-03,9.0014
2019-01-02,9.017
2019-01-01,8.8716
2018-12-31,8.8533
2018-12-28,8.996
2018-12-27,9.0098
2018-12-26,9.1037
2018-12-25,9.0623
2018-12-24,9.0491
2018-12-21,9.043
2018-12-20,8.9754
2018-12-19,9.0989
2018-12-18,9.0702
2018-12-17,9.058
2018-12-14,9.0607
2018-12-13,9.0594
2018-12-12,9.089
2018-12-11,9.0893
2018-12-10,9.0964
2018-12-07,9.0464
2018-12-06,8.9882
2018-12-05,8.98
2018-12-04,9.0167
2018-12-03,9.0133
2018-11-30,9.1052
2018-11-29,9.0678
2018-11-28,9.0376
2018-11-27,9.1096
2018-11-26,9.0938
2018-11-23,9.0929
2018-11-22,9.0418
2018-11-21,9.0467
2018-11-20,9.0943
2018-11-19,9.0024
2018-11-16,9.0028
2018-11-15,9.0639
2018-11-14,9.0862
2018-11-13,9.0567
2018-11-12,9.1511
2018-11-09,9.08
2018-11-08,9.0197
2018-11-07,9.0266
2018-11-06,9.0432
2018-11-05,9.0561
2018-11-02,9.0613
2018-11-01,9.0435
2018-10-31,9.1654
2018-10-30,9.1756
2018-10-29,9.1519
2018-10-26,9.1331
2018-10-25,9.112
2018-10-24,9.1251
2018-10-23,9.025
2018-10-22,9.0029
2018-10-19,8.9907
2018-10-18,9.0439
2018-10-17,8.9636
2018-10-16,8.9064
2018-10-15,8.9532
2018-10-12,8.9617
2018-10-11,8.974
2018-10-10,9.1372
2018-10-09,9.1056
2018-10-08,9.086
2018-10-05,9.0665
2018-10-04,9.0602
2018-10-03,9.057
2018-10-02,9.0084
2018-10-01,8.9458
2018-09-28,8.8894
2018-09-27,8.8568
2018-09-26,8.8106
2018-09-25,8.8098
2018-09-24,8.799
2018-09-21,8.7942
2018-09-20,8.7737
2018-09-19,8.8736
2018-09-18,8.9092
2018-09-17,8.9121
2018-09-14,9.0513
2018-09-13,8.9546
2018-09-12,8.9804
2018-09-11,9.0418
2018-09-10,9.0684
2018-09-07,9.0583
2018-09-06,9.1069
2018-09-05,9.0551
2018-09-04,9.087
2018-09-03,9.097
2018-08-31,9.1537
2018-08-30,9.1187
2018-08-29,9.1372
2018-08-28,9.1373
2018-08-27,9.0951
2018-08-24,9.1288
2018-08-23,9.1366
2018-08-22,9.0653
2018-08-21,9.0961
2018-08-20,9.1542
2018-08-17,9.1533
2018-08-16,9.1921
2018-08-15,9.205
2018-08-14,9.1395
2018-08-13,9.116
2018-08-10,9.1228
2018-08-09,9.0078
2018-08-08,8.9523
2018-08-07,8.9167
2018-08-06,8.939
2018-08-03,8.9299
2018-08-02,8.8936
2018-08-01,8.8068
2018-07-31,8.7918
2018-07-30,8.7519
2018-07-27,8.8406
2018-07-26,8.8124
2018-07-25,8.757
2018-07-24,8.8161
2018-07-23,8.8605
2018-07-20,8.852
2018-07-19,8.914
2018-07-18,8.8657
2018-07-17,8.8406
2018-07-16,8.8227
2018-07-13,8.8796
2018-07-12,8.8736
2018-07-11,8.8231
2018-07-10,8.7406
2018-07-09,8.7262
2018-07-06,8.7242
2018-07-05,8.7666
2018-07-04,8.7891
2018-07-03,8.8377
2018-07-02,8.9652
2018-06-29,8.9428
2018-06-28,9.0191
2018-06-27,8.9772
2018-06-26,8.8821
2018-06-25,8.8459
2018-06-22,8.857
2018-06-21,8.8937
2018-06-20,8.8842
2018-06-19,8.8941
2018-06-18,8.8161
2018-06-15,8.7858
2018-06-14,8.7434
2018-06-13,8.6071
2018-06-12,8.6455
2018-06-11,8.662
2018-06-08,8.7153
2018-06-07,8.7001
2018-06-06,8.7332
2018-06-05,8.7502
2018-06-04,8.7574
2018-06-01,8.8217
2018-05-31,8.8136
2018-05-30,8.8103
2018-05-29,8.9615
2018-05-28,8.824
2018-05-25,8.7683
2018-05-24,8.7609
2018-05-23,8.7607
2018-05-22,8.6822
2018-05-21,8.6724
2018-05-18,8.7537
2018-05-17,8.7339
2018-05-16,8.705
2018-05-15,8.6854
2018-05-14,8.6427
2018-05-11,8.6016
2018-05-10,8.651
2018-05-09,8.7044
2018-05-08,8.8185
2018-05-07,8.8359
2018-05-04,8.8066
2018-05-03,8.8109
2018-05-02,8.9166
2018-05-01,8.8588
2018-04-30,8.7492
2018-04-27,8.6588
2018-04-26,8.6642
2018-04-25,8.565
2018-04-24,8.5077
2018-04-23,8.5194
2018-04-20,8.4461
2018-04-19,8.4043
2018-04-18,8.4051
2018-04-17,8.4033
2018-04-16,8.4168
2018-04-13,8.474
2018-04-12,8.4075
2018-04-11,8.3253
2018-04-10,8.3063
2018-04-09,8.358
2018-04-06,8.3915
2018-04-05,8.4185
2018-04-04,8.4027
2018-04-03,8.3964
2018-04-02,8.3914
2018-03-30,8.3418
2018-03-29,8.3612
2018-03-28,8.3517
2018-03-27,8.2309
2018-03-26,8.1919
2018-03-23,8.2479
2018-03-22,8.2567
2018-03-21,8.1834
2018-03-20,8.222
2018-03-19,8.1695
2018-03-16,8.1938
2018-03-15,8.1798
2018-03-14,8.1831
2018-03-13,8.217
2018-03-12,8.2419
2018-03-09,8.2442
2018-03-08,8.2691
2018-03-07,8.23
2018-03-06,8.2056
2018-03-05,8.2621
2018-03-02,8.2446
2018-03-01,8.2489
2018-02-28,8.2911
2018-02-27,8.2253
2018-02-26,8.1512
2018-02-23,8.1731
2018-02-22,8.116
2018-02-21,8.1189
2018-02-20,8.0964
2018-02-19,7.9845
2018-02-16,7.9688
2018-02-15,7.9345
2018-02-14,7.9554
2018-02-13,8.0279
2018-02-12,8.0643
2018-02-09,8.0804
2018-02-08,8.1172
2018-02-07,8.0844
2018-02-06,7.9518
2018-02-05,7.9799
2018-02-02,7.9028
2018-02-01,7.841
2018-01-31,7.879
2018-01-30,7.8904
2018-01-29,7.8929
2018-01-26,7.8682
2018-01-25,7.9223
2018-01-24,7.9267
2018-01-23,8.0075
2018-01-22,8.0193
2018-01-19,8.0531
2018-01-18,8.0188
2018-01-17,8.0509
2018-01-16,8.0405
2018-01-15,8.0216
2018-01-12,8.0495
2018-01-11,8.132
2018-01-10,8.2009
2018-01-09,8.2301
2018-01-08,8.2024
2018-01-05,8.1578
2018-01-04,8.1367
2018-01-03,8.1767
2018-01-02,8.168
2018-01-01,8.1758
2017-12-29,8.1833
2017-12-28,8.2454
2017-12-27,8.2762
2017-12-26,8.3479
2017-12-25,8.327
2017-12-22,8.3175
2017-12-21,8.3793
2017-12-20,8.403
2017-12-19,8.4079
2017-12-18,8.4363
2017-12-15,8.5041
2017-12-14,8.4394
2017-12-13,8.4131
2017-12-12,8.4206
2017-12-11,8.5033
2017-12-08,8.4452
2017-12-07,8.4861
2017-12-06,8.4362
2017-12-05,8.3629
2017-12-04,8.42
2017-12-01,8.3532
2017-11-30,8.3768
2017-11-29,8.3689
2017-11-28,8.3511
2017-11-27,8.3029
2017-11-24,8.2778
2017-11-23,8.2972
2017-11-22,8.338
2017-11-21,8.4302
2017-11-20,8.4851
2017-11-17,8.4277
2017-11-16,8.3986
2017-11-15,8.4295
2017-11-14,8.395
2017-11-13,8.3833
2017-11-10,8.3533
2017-11-09,8.378
2017-11-08,8.381
2017-11-07,8.3981
2017-11-06,8.3979
2017-11-03,8.4337
2017-11-02,8.3948
2017-11-01,8.4014
2017-10-31,8.3776
2017-10-30,8.3534
2017-10-27,8.3722
2017-10-26,8.349
2017-10-25,8.218
2017-10-24,8.2209
2017-10-23,8.2003
2017-10-20,8.162
2017-10-19,8.1263
2017-10-18,8.1427
2017-10-17,8.1531
2017-10-16,8.106
2017-10-13,8.1072
2017-10-12,8.1202
